   lambda	    Aphi	    Ephi
   522.000000       1.20615996E-02  0.806797981    
   524.000000       1.15413005E-02  0.818260014    
   526.000000       1.11018997E-02  0.827539027    
   528.000000       1.06782001E-02  0.837822020    
   530.000000       1.02701997E-02  0.850035012    
   532.000000       9.86676011E-03  0.864371002    
   534.000000       9.45033971E-03  0.876105011    
   536.000000       9.13157966E-03  0.883664012    
   538.000000       8.79997015E-03  0.891514003    
   540.000000       8.47894046E-03  0.903637588    
   542.000000       8.22898000E-03  0.905952811    
   544.000000       7.91534968E-03  0.913577795    
   546.000000       7.58758001E-03  0.921004593    
   548.000000       7.30457995E-03  0.926205575    
   550.000000       7.02755013E-03  0.931167305    
   552.000000       6.68777013E-03  0.938910306    
   554.000000       6.37846999E-03  0.944471598    
   556.000000       6.11840980E-03  0.943462193    
   558.000000       5.86208981E-03  0.943874121    
   560.000000       5.67919016E-03  0.934519410    
   562.000000       5.45193022E-03  0.938187420    
   564.000000       5.28849009E-03  0.930832207    
   566.000000       5.16659021E-03  0.930869222    
   568.000000       5.09769982E-03  0.925111890    
   570.000000       4.98617021E-03  0.929811776    
   572.000000       4.98028006E-03  0.919242203    
   574.000000       4.98036016E-03  0.910580218    
   576.000000       5.00359992E-03  0.900077283    
   578.000000       5.00970986E-03  0.901953280    
   580.000000       5.08711999E-03  0.893335998    
   582.000000       5.12157008E-03  0.893499017    
   584.000000       5.24068996E-03  0.876441002    
   586.000000       5.31486003E-03  0.869708002    
   588.000000       5.35468990E-03  0.863694012    
   590.000000       5.39004011E-03  0.858931005    
   592.000000       5.41207008E-03  0.852832019    
   594.000000       5.36942016E-03  0.848167002    
   596.000000       5.31406002E-03  0.844824016    
   598.000000       5.27335005E-03  0.838522971    
   600.000000       5.21657988E-03  0.841018021    
   602.000000       5.23013994E-03  0.840204000    
   604.000000       5.24094002E-03  0.840631008    
   606.000000       5.26082003E-03  0.849918008    
   608.000000       5.35289990E-03  0.850798011    
   610.000000       5.48047991E-03  0.854776978    
   612.000000       5.59992995E-03  0.859506011    
   614.000000       5.72302984E-03  0.865122020    
   616.000000       5.87008987E-03  0.866814971    
   618.000000       5.98422019E-03  0.868394971    
   620.000000       6.08558021E-03  0.870416999    
   622.000000       6.18478982E-03  0.869252980    
   624.000000       6.24575000E-03  0.869808972    
   626.000000       6.36318000E-03  0.866418004    
   628.000000       6.46155979E-03  0.866135001    
   630.000000       6.62103016E-03  0.863759995    
   632.000000       6.72107004E-03  0.866047978    
   634.000000       6.85261004E-03  0.863430977    
   636.000000       6.96852989E-03  0.859450996    
   638.000000       7.03711994E-03  0.857393980    
   640.000000       7.13340985E-03  0.852401972    
   642.000000       7.25081982E-03  0.840695977    
   644.000000       7.33406981E-03  0.834596992    
   646.000000       7.43778003E-03  0.825136006    
   648.000000       7.56510021E-03  0.821645975    
   650.000000       7.77566014E-03  0.815460980    
   652.000000       8.01623985E-03  0.818001986    
   654.000000       8.42426997E-03  0.815771997    
   656.000000       9.03046038E-03  0.815500975    
   658.000000       9.80813988E-03  0.820502996    
   660.000000       1.08321998E-02  0.823337018    
   662.000000       1.20323002E-02  0.826961994    
   664.000000       1.34506999E-02  0.822560012    
   666.000000       1.49520002E-02  0.817174017    
   668.000000       1.62697993E-02  0.814107001    
   670.000000       1.73879992E-02  0.813790977    
   672.000000       1.80721004E-02  0.811783016    
   674.000000       1.82380006E-02  0.813274026    
   676.000000       1.79744009E-02  0.816196024    
   678.000000       1.72435995E-02  0.820819974    
   680.000000       1.60569996E-02  0.828400016    
   682.000000       1.43849002E-02  0.843146026    
   684.000000       1.24842003E-02  0.861145020    
   686.000000       1.04289996E-02  0.882872999    
   688.000000       8.54401011E-03  0.902280629    
   690.000000       6.85509993E-03  0.925526381    
   692.000000       5.48900990E-03  0.941701591    
   694.000000       4.38384991E-03  0.967679024    
   696.000000       3.59814009E-03  0.982170701    
   698.000000       2.98876991E-03  0.999734282    
   700.000000       2.48126010E-03   1.02860796    
   702.000000       2.48126010E-03   1.02860796    
   704.000000       2.48126010E-03   1.02860796    
   706.000000       2.48126010E-03   1.02860796    
   708.000000       2.48126010E-03   1.02860796    
   710.000000       2.48126010E-03   1.02860796    
   712.000000       2.48126010E-03   1.02860796    
   714.000000       2.48126010E-03   1.02860796    
   716.000000       2.48126010E-03   1.02860796    
   718.000000       2.48126010E-03   1.02860796    
   720.000000       2.48126010E-03   1.02860796    
   722.000000       2.48126010E-03   1.02860796    
   724.000000       2.48126010E-03   1.02860796    
   726.000000       2.48126010E-03   1.02860796    
   728.000000       2.48126010E-03   1.02860796    
   730.000000       2.48126010E-03   1.02860796    
   732.000000       2.48126010E-03   1.02860796    
   734.000000       2.48126010E-03   1.02860796    
   736.000000       2.48126010E-03   1.02860796    
   738.000000       2.48126010E-03   1.02860796    
   740.000000       2.48126010E-03   1.02860796    
   742.000000       2.48126010E-03   1.02860796    
   744.000000       2.48126010E-03   1.02860796    
   746.000000       2.48126010E-03   1.02860796    
   748.000000       2.48126010E-03   1.02860796    
   750.000000       2.48126010E-03   1.02860796    
   752.000000       2.48126010E-03   1.02860796    
   754.000000       2.48126010E-03   1.02860796    
   756.000000       2.48126010E-03   1.02860796    
   758.000000       2.48126010E-03   1.02860796    
   760.000000       2.48126010E-03   1.02860796    
   762.000000       2.48126010E-03   1.02860796    
   764.000000       2.48126010E-03   1.02860796    
   766.000000       2.48126010E-03   1.02860796    
   768.000000       2.48126010E-03   1.02860796    
   770.000000       2.48126010E-03   1.02860796    
   772.000000       2.48126010E-03   1.02860796    
   774.000000       2.48126010E-03   1.02860796    
   776.000000       2.48126010E-03   1.02860796    
   778.000000       2.48126010E-03   1.02860796    
   780.000000       2.48126010E-03   1.02860796    
   782.000000       2.48126010E-03   1.02860796    
   784.000000       2.48126010E-03   1.02860796    
   786.000000       2.48126010E-03   1.02860796    
   788.000000       2.48126010E-03   1.02860796    
   790.000000       2.48126010E-03   1.02860796    
   792.000000       2.48126010E-03   1.02860796    
   794.000000       2.48126010E-03   1.02860796    
   796.000000       2.48126010E-03   1.02860796    
   798.000000       2.48126010E-03   1.02860796    
   800.000000       2.48126010E-03   1.02860796    
   802.000000       2.48126010E-03   1.02860796    
   804.000000       2.48126010E-03   1.02860796    
   806.000000       2.48126010E-03   1.02860796    
   808.000000       2.48126010E-03   1.02860796    
   810.000000       2.48126010E-03   1.02860796    
   812.000000       2.48126010E-03   1.02860796    
   814.000000       2.48126010E-03   1.02860796    
   816.000000       2.48126010E-03   1.02860796    
   818.000000       2.48126010E-03   1.02860796    
   820.000000       2.48126010E-03   1.02860796    
   822.000000       2.48126010E-03   1.02860796    
   824.000000       2.48126010E-03   1.02860796    
   826.000000       2.48126010E-03   1.02860796    
   828.000000       2.48126010E-03   1.02860796    
   830.000000       2.48126010E-03   1.02860796    
   832.000000       2.48126010E-03   1.02860796    
   834.000000       2.48126010E-03   1.02860796    
   836.000000       2.48126010E-03   1.02860796    
   838.000000       2.48126010E-03   1.02860796    
   840.000000       2.48126010E-03   1.02860796    
   842.000000       2.48126010E-03   1.02860796    
   844.000000       2.48126010E-03   1.02860796    
   846.000000       2.48126010E-03   1.02860796    
   848.000000       2.48126010E-03   1.02860796    
   850.000000       2.48126010E-03   1.02860796    
   852.000000       2.48126010E-03   1.02860796    
   854.000000       2.48126010E-03   1.02860796    
   856.000000       2.48126010E-03   1.02860796    
   858.000000       2.48126010E-03   1.02860796    
   860.000000       2.48126010E-03   1.02860796    
   862.000000       2.48126010E-03   1.02860796    
   864.000000       2.48126010E-03   1.02860796    
   866.000000       2.48126010E-03   1.02860796    
   868.000000       2.48126010E-03   1.02860796    
   870.000000       2.48126010E-03   1.02860796    
   872.000000       2.48126010E-03   1.02860796    
   874.000000       2.48126010E-03   1.02860796    
   876.000000       2.48126010E-03   1.02860796    
   878.000000       2.48126010E-03   1.02860796    
   880.000000       2.48126010E-03   1.02860796    
   882.000000       2.48126010E-03   1.02860796    
   884.000000       2.48126010E-03   1.02860796    
   886.000000       2.48126010E-03   1.02860796    
   888.000000       2.48126010E-03   1.02860796    
   890.000000       2.48126010E-03   1.02860796    
   892.000000       2.48126010E-03   1.02860796    
   894.000000       2.48126010E-03   1.02860796    
   896.000000       2.48126010E-03   1.02860796    
   898.000000       2.48126010E-03   1.02860796    
   900.000000       2.48126010E-03   1.02860796    
