GEISA09 Lines : Database Extract Results

Extraction in progress...

nbr records in this bin file :   3807997
 *****************                                                                                                  *****************
 * geisa   geisa *                                extraction of geisa2009  contents                                 * geisa   geisa *
 *      ext      *                                                                                                  *      ext      *
 * geisa   geisa *                spectral  interval (cm-1)  nu1= 2400.000000   nu2= 35000.000000                   * geisa   geisa *
 *****************                                                                                                  *****************
                                          extraction of the following molecules and isotopes

  1 Molecule(s) affect(s) :  o2

  3 Isotope(s)  affect(s) :   66,  67,  68

                                        (A)  wavenumber (cm-1)
                                        (B)  intensity (cm-1/molec.cm-2 at 296 k)
                                        (C)  air broadening pressure halfwidth(cm-1 atm-1 at 296 K)
                                        (D)  energy of the lower level of the transition (cm-1)
                                        (G)  identification of the isotope
                                        (I)  identification code of the molecule

      ----------------------------------------------------
      |     A      |     B     |  C   |    D     | G | I |
      ----------------------------------------------------
        7768.708899  1.4910D-28 0.0347  1606.3500  66   7      87
        7772.029341  5.9720D-27 0.0440   544.8622  66   7      88
        7775.188471  3.1980D-28 0.0356  1422.4995  66   7      89
        7776.923720  3.4380D-28 0.0356  1420.7642  66   7      90
        7779.572583  1.4990D-29 0.0440   515.3210  68   7      91
        7783.229781  6.9170D-28 0.0365  1248.2019  66   7      92
        7784.796986  8.6320D-27 0.0454   438.7010  66   7      93
        7784.982408  7.4700D-28 0.0365  1246.4493  66   7      94
        7785.620457  1.7930D-29 0.0447   463.8324  68   7      95
        7791.115476  1.4080D-27 0.0378  1085.2037  66   7      96
        7791.633829  2.1060D-29 0.0454   415.0416  68   7      97
        7792.885598  1.5290D-27 0.0378  1083.4335  66   7      98
        7797.418802  1.1530D-26 0.0468   343.9694  66   7      99
        7797.612604  2.4270D-29 0.0461   368.9505  68   7     100
        7798.846060  2.6930D-27 0.0397   933.5311  66   7     101
        7800.633823  2.9420D-27 0.0397   931.7433  66   7     102
        7803.556686  2.7420D-29 0.0468   325.5608  68   7     103
        7806.421926  4.8370D-27 0.0410   793.2088  66   7     104
        7808.227509  5.6790D-27 0.0410   791.4032  66   7     105
        7809.465980  3.0320D-29 0.0473   284.8742  68   7     106
        7809.893935  1.4470D-26 0.0477   260.6825  66   7     107
        7813.843354  8.5300D-27 0.0425   664.2595  66   7     108
        7815.340398  3.2770D-29 0.0477   246.8922  68   7     109
        7815.474503  1.6680D-29 0.0417   687.7770  68   7     110
        7815.666988  9.3260D-27 0.0425   662.4359  66   7     111
        7817.297412  1.8420D-29 0.0417   685.9541  68   7     112
        7818.961566  2.1100D-29 0.0425   628.2155  68   7     113
        7820.792976  2.3400D-29 0.0425   626.3840  68   7     114
        7821.110517  1.2310D-26 0.0440   546.7042  66   7     115
        7821.179858  3.4540D-29 0.0485   211.6162  68   7     116
        7822.221631  1.5250D-26 0.0492   188.8531  66   7     117
        7822.412146  2.6260D-29 0.0432   571.3456  68   7     118
        7822.952504  1.6130D-26 0.0440   544.8622  66   7     119
        7824.252123  2.9270D-29 0.0432   569.5056  68   7     120
        7825.826255  3.2160D-29 0.0440   517.1697  68   7     121
        7826.984297  3.5410D-29 0.0492   179.0474  68   7     122
        7827.674875  3.6040D-29 0.0440   515.3210  68   7     123
        7828.223481  1.8770D-26 0.0454   440.5618  66   7     124
        7829.203898  3.8720D-29 0.0447   465.6897  68   7     125
        7830.084229  2.2210D-26 0.0454   438.7010  66   7     126
        7831.061249  4.3650D-29 0.0447   463.8324  68   7     127
        7832.545076  4.5810D-29 0.0454   416.9078  68   7     128
        7832.753677  3.5140D-29 0.0498   149.1870  68   7     129
        7834.401480  1.5470D-26 0.0505   128.4921  66   7     130
        7834.411262  5.1980D-29 0.0454   415.0416  68   7     131
        7835.182206  2.4530D-26 0.0468   345.8495  66   7     132
        7835.849783  5.3240D-29 0.0461   370.8256  68   7     133
        7837.062287  3.0830D-26 0.0468   343.9694  66   7     134
        7837.724927  6.0860D-29 0.0461   368.9505  68   7     135
        7838.488009  3.3560D-29 0.0505   122.0360  68   7     136
        7839.118008  6.0720D-29 0.0468   327.4451  68   7     137
        7841.002258  7.0000D-29 0.0468   325.5608  68   7     138
        7841.986547  3.1160D-26 0.0477   262.5827  66   7     139
        7842.349732  6.7900D-29 0.0473   286.7678  68   7     140
        7843.886802  3.9780D-26 0.0477   260.6825  66   7     141
        7844.187389  3.0550D-29 0.0512    97.5950  68   7     142
        7844.243270  7.9030D-29 0.0473   284.8742  68   7     143
        7845.544934  7.4350D-29 0.0477   248.7953  68   7     144
        7846.434112  1.3150D-26 0.0519    79.6070  66   7     145
        7847.447982  8.7510D-29 0.0477   246.8922  68   7     146
        7848.636255  3.6020D-26 0.0492   190.7748  66   7     147
        7848.703584  7.9610D-29 0.0485   213.5291  68   7     148
        7849.852063  2.6080D-29 0.0519    75.8647  68   7     149
        7850.558000  4.7180D-26 0.0492   188.8531  66   7     150
        7850.616424  9.4920D-29 0.0485   211.6162  68   7     151
        7850.834250  1.7230D-29 0.0328  2232.0889  66   7     152
        7851.825648  8.3180D-29 0.0492   180.9704  68   7     153
        7853.748641  1.0070D-28 0.0492   179.0474  68   7     154
        7854.010781  4.7430D-29 0.0335  2012.8956  66   7     155
        7854.911086  8.4560D-29 0.0498   151.1206  68   7     156
        7855.130979  3.6790D-26 0.0505   130.4375  66   7     157
        7855.482574  2.0260D-29 0.0530    56.8452  68   7     158
        7856.844705  1.0430D-28 0.0498   149.1870  68   7     159
        7857.010415  1.2330D-28 0.0341  1804.8773  66   7     160
        7857.076454  4.9940D-26 0.0505   128.4921  66   7     161
        7857.959851  8.3310D-29 0.0505   123.9808  68   7     162
        7858.323750  6.5630D-27 0.0542    42.2001  66   7     163
        7858.711185  3.2880D-29 0.0341  1803.1765  66   7     164
        7859.293025  2.9450D-29 0.0341  1802.5947  66   7     165
        7859.835101  3.0260D-28 0.0347  1608.0680  66   7     166
        7859.904737  1.0510D-28 0.0505   122.0360  68   7     167
        7860.971892  7.9100D-29 0.0512    99.5521  68   7     168
        7861.470266  3.0940D-26 0.0519    81.5805  66   7     169
        7861.553069  8.0970D-29 0.0347  1606.3500  66   7     170
        7862.100028  7.2030D-29 0.0347  1605.8030  66   7     171
        7862.486669  7.0060D-28 0.0356  1422.4995  66   7     172
